site,url,image_index,src,data-src,alt,width,height,loading,alt_state,assessment
kr,https://beautyblossom.kr/,1,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,2,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,3,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,4,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,5,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,6,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/74c39c3b833f4.png,,KR,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,7,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/612a73dbe23c6.png,,EN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,8,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/8b37b4496b6f4.png,,CN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,9,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/bc534ce03c3b1.png,,JP,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,10,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/ba8ef7729e956.png,,TW,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,11,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-02.png,,TH,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,12,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-03.png,,뷰티블라썸 이벤트,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,13,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,14,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/6c5d58d934007.gif,,,,,,missing,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,15,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/70813afe059d7.png,,,,,,missing,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,16,/common/img/default_profile.png,,프로필 정보수정,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,17,/common/img/flag_shapes/flag_kr_circle.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,18,/common/img/flag_shapes/flag_kr_square.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
