site,url,widget_id,title,shape,doctype,html_open,head_open,body_open,rendered_sha256,source_archive_sha256,evidence
kr,https://beautyblossom.kr/129,w202502255accd0ae0f6ec,모던 카드 디자인,document_bundle,true,true,true,true,4a0500d88f7394a645cb5bac07cba4bef3f39e31ccd3173738a0e9429eb28754,25c600da9b59d18cea01ae4bfc4a75bd0a649407bd3adb2c9b4101c464b08ae4,pages/kr/ed02bbbdb0a3b2e4.html.gz
kr,https://beautyblossom.kr/130,w2025022534ad0016b9bbc,피부 시술 비교 테이블,document_bundle,true,true,true,true,67838df6ba8b25904773e3515ebddd1d761541bfb75f5b3718f31abed9eb9644,b3deca8195a1ebb85df06a4a7cdfa5e5859ada2c65d1297ae1e13178555b2013,pages/kr/bcf640b6c09f4523.html.gz
kr,https://beautyblossom.kr/131,w20250315e976dc2f2b64d,비수면 가스마취 혜택,document_bundle,true,true,true,true,ae588a78f0d26bd61d206063a783e2546a1d9a7d15ff4a6397db3647946418e2,c59918ed131b2f5cc5ffa672fbd5efd65e8383122679043c1c9f4060d40585ef,pages/kr/547696d2d06467d3.html.gz
kr,https://beautyblossom.kr/131,w2025031739ed1d4946989,Porter 웃음 진정기 특징,document_bundle,true,true,true,true,47d45d3982b165a43378b7097498f004aabefb5a2de6bb23d3260c1eee3c7ad0,c59918ed131b2f5cc5ffa672fbd5efd65e8383122679043c1c9f4060d40585ef,pages/kr/547696d2d06467d3.html.gz
kr,https://beautyblossom.kr/131,w202503152fbe94d835e21,비수면 가스마취 혜택,document_bundle,true,true,true,true,86181ce543ea10aba3d9f0c7ebc38955d4a84bbb08fc3dd79a4c34307ced0938,c59918ed131b2f5cc5ffa672fbd5efd65e8383122679043c1c9f4060d40585ef,pages/kr/547696d2d06467d3.html.gz
kr,https://beautyblossom.kr/131,w202503154db9f63d212df,수면마취와 비수면 가스마취 비교,document_bundle,true,true,true,true,d240e0ba32c9230cad4612c208722eb9c1a4f839fba05cbc0ff0902c03ca9e50,c59918ed131b2f5cc5ffa672fbd5efd65e8383122679043c1c9f4060d40585ef,pages/kr/547696d2d06467d3.html.gz
kr,https://beautyblossom.kr/131,w2025031778dda25a6646e,가스마취 종류 비교,document_bundle,true,true,true,true,1c847b98e6c872e35fd36091385e1c6dd9af5819b897b464b54b1ca79a44df40,c59918ed131b2f5cc5ffa672fbd5efd65e8383122679043c1c9f4060d40585ef,pages/kr/547696d2d06467d3.html.gz
kr,https://beautyblossom.kr/132,w2025081039e554189929c,AI 빅데이터 분석 - 피부 진단 시스템,document_bundle,true,true,true,true,8f6c009856664f4b544ce88c07e7de2ea49f295e21192e0a376e58dafbebc2c6,76ae3f87779e2adbdfe67f11a30cde4b6509b2a33ed9208b55f0e98c3a8bf5bc,pages/kr/c21d6b24281be2b6.html.gz
kr,https://beautyblossom.kr/132,w202503158bfdc18629607,EVE V MUSE 리포트 안내,document_bundle,true,true,true,true,091dd8b39e8acfa17547f6ffc4d3e927e70c217a41219a23666e43ee25c20da7,76ae3f87779e2adbdfe67f11a30cde4b6509b2a33ed9208b55f0e98c3a8bf5bc,pages/kr/c21d6b24281be2b6.html.gz
kr,https://beautyblossom.kr/132,w202508102d909b198a8e2,피부 분석 솔루션,document_bundle,true,true,true,true,13624181d9cecb9a8c2a9636689180221fc1517473bdabd3948785e9411c924e,76ae3f87779e2adbdfe67f11a30cde4b6509b2a33ed9208b55f0e98c3a8bf5bc,pages/kr/c21d6b24281be2b6.html.gz
kr,https://beautyblossom.kr/132,w20250810081d1b4dc1dda,진료 과정,document_bundle,true,true,true,true,c8d3c646a2bdab023ae2bf372b84ed2aa808996a5813e857177a4a29ee91e390,76ae3f87779e2adbdfe67f11a30cde4b6509b2a33ed9208b55f0e98c3a8bf5bc,pages/kr/c21d6b24281be2b6.html.gz
kr,https://beautyblossom.kr/139,w202507073d372f3d4ad89,소프웨이브 시술 정보,document_bundle,true,true,true,true,159327cc5a581305f04c50fca2421b182ee18206f40e6b119b6b391b6d1e24b7,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w2025070833b1b4794a8ef,시술 전후 비교,document_bundle,true,true,true,true,47a1d20f8e278df9c3579899a8175bebcbe25400edcb41bb604a3d9328800181,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w2025070811a4fbb777306,시술 전후 비교,document_bundle,true,true,true,true,1db6496cddff5771fe4bab430a4e865e3118b148459912e335048a3c1263d71b,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w20250708c237f41d1c2b2,시술 전후 비교,document_bundle,true,true,true,true,3f19be2b62e2c3e9c144cc69111e37c79b9057120b367517b76974639c4a4778,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w202507083f4fed722136a,시술 전후 비교,document_bundle,true,true,true,true,e4bea9f7e32d82bde012dbb72adbf4878b81606aac43c43a125e13654e214e31,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w20250708c53bbe3dfb620,시술 전후 비교,document_bundle,true,true,true,true,6a8b3b142a2cbc4d11f92f6110543063a2ddc3fe440935b54806d97b84a17d8f,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w20250708e6496a2b6ac78,시술 전후 비교,document_bundle,true,true,true,true,4bb86468198580b9ce9502442d0cdaa8eefe71100bce8992e22f3716116954cf,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/139,w2025070895cf3370c2b17,시술 전후 비교,document_bundle,true,true,true,true,493a1944492eb19b1e9b657a0f6993d20c489d892ff7296d8f1013c20942f47f,967067859bb012c4ae0bdf796e793d6ef5df1d06fda07ee97450a2d982f5bf42,pages/kr/733215157202804c.html.gz
kr,https://beautyblossom.kr/140,w20250730b88be59d2de94,스컬트라 효과,document_bundle,true,true,true,true,693c3b2784db4c1843c61ea67be2fa93f90402b89be860336157aac200d06b74,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
kr,https://beautyblossom.kr/140,w20250730b5423daa0d840,비메오 영상 - 수정됨,document_bundle,true,true,true,true,5c247e47976e31e5e5854c30d4b81a409b7b3e86f69ed858a4310eeab800691c,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
kr,https://beautyblossom.kr/140,w202507314e351297399c5,스컬트라 텍스트 박스,document_bundle,true,true,true,true,6e30a82ad20f7c6b6a9676e2cac0feb106160ccaf4743a0476516477059f5b07,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
kr,https://beautyblossom.kr/140,w2025073017a57c180999e,비메오 영상 1,document_bundle,true,true,true,true,4e6ab15b369b2000876bac333d48aec0c34e80d95984831991365abaa4a8d0e4,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
kr,https://beautyblossom.kr/140,w20250731810259bc8393a,스컬트라 vs 필러 비교,document_bundle,true,true,true,true,bc547c74ad162f9a4a84f0a7a9a8cd9f78f741cd5d96d0ac4e812d80b3e04f89,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
