site,url,title,source_line,parent,widget_id,evidence
kr,https://beautyblossom.kr/129,모던 카드 디자인,13192,div,w202502255accd0ae0f6ec,pages\kr\ed02bbbdb0a3b2e4.json
kr,https://beautyblossom.kr/130,피부 시술 비교 테이블,13611,div,w2025022534ad0016b9bbc,pages\kr\bcf640b6c09f4523.json
kr,https://beautyblossom.kr/131,비수면 가스마취 혜택,16158,div,w20250315e976dc2f2b64d,pages\kr\547696d2d06467d3.json
kr,https://beautyblossom.kr/131,Porter 웃음 진정기 특징,16233,div,w2025031739ed1d4946989,pages\kr\547696d2d06467d3.json
kr,https://beautyblossom.kr/131,비수면 가스마취 혜택,16286,div,w202503152fbe94d835e21,pages\kr\547696d2d06467d3.json
kr,https://beautyblossom.kr/131,수면마취와 비수면 가스마취 비교,16341,div,w202503154db9f63d212df,pages\kr\547696d2d06467d3.json
kr,https://beautyblossom.kr/131,가스마취 종류 비교,16448,div,w2025031778dda25a6646e,pages\kr\547696d2d06467d3.json
kr,https://beautyblossom.kr/132,AI 빅데이터 분석 - 피부 진단 시스템,15315,div,w2025081039e554189929c,pages\kr\c21d6b24281be2b6.json
kr,https://beautyblossom.kr/132,EVE V MUSE 리포트 안내,15455,div,w202503158bfdc18629607,pages\kr\c21d6b24281be2b6.json
kr,https://beautyblossom.kr/132,피부 분석 솔루션,15567,div,w202508102d909b198a8e2,pages\kr\c21d6b24281be2b6.json
kr,https://beautyblossom.kr/132,진료 과정,15615,div,w20250810081d1b4dc1dda,pages\kr\c21d6b24281be2b6.json
kr,https://beautyblossom.kr/139,소프웨이브 시술 정보,21558,div,w202507073d372f3d4ad89,pages\kr\733215157202804c.json
kr,https://beautyblossom.kr/139,시술 전후 비교,22005,div,w2025070833b1b4794a8ef,pages\kr\733215157202804c.json
kr,https://beautyblossom.kr/139,시술 전후 비교,22050,div,w2025070811a4fbb777306,pages\kr\733215157202804c.json
kr,https://beautyblossom.kr/139,시술 전후 비교,22093,div,w20250708c237f41d1c2b2,pages\kr\733215157202804c.json
kr,https://beautyblossom.kr/139,시술 전후 비교,22136,div,w202507083f4fed722136a,pages\kr\733215157202804c.json
